Pay Date,-140 BPs,-120 BPs,-100 BPs,  -80  BPs,  -60  BPs,  -40 BPs,  -20 BPs,      0 BPs,    20 BPs,    40 BPs,    60 BPs,    80 BPs, 100 BPs, 120 BPs, 140 BPs
03/18,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8
04/18,7.98,7.98,7.97,7.98,7.98,7.98,7.98,7.97,7.98,7.98,7.98,7.98,7.97,7.99,7.99
05/18,12.88,11.8,10.83,10.01,9.17,8.39,7.62,6.93,6.14,4.97,4.62,4.39,4.16,3.95,3.74
06/18,29.97,24.47,19.61,15.89,13.33,11.46,9.66,8.05,5.93,5.3,4.76,4.25,4.09,3.95,3.82
07/18,30.75,24.06,19.07,15.64,13.25,11.45,9.7,8.13,6.09,5.45,4.9,4.37,4.21,4.07,3.93
08/18,30.98,23.85,18.79,15.51,13.18,11.41,9.67,8.12,6.12,5.49,4.94,4.42,4.25,4.11,3.96
09/18,33.34,25.77,20.45,17.07,14.63,12.73,10.84,9.16,7,6.29,5.67,5.09,4.9,4.74,4.58
10/18,27.27,20.83,16.43,13.68,11.69,10.11,8.58,7.22,5.49,4.94,4.47,4.02,3.87,3.75,3.62
11/18,30.23,23.34,18.65,15.69,13.49,11.71,9.96,8.41,6.46,5.83,5.28,4.76,4.59,4.44,4.29
12/18,26.34,20.18,16.1,13.54,11.56,9.95,8.4,7.05,5.37,4.85,4.4,3.98,3.84,3.72,3.6
01/19,25.06,19.18,15.43,12.94,11,9.42,7.92,6.62,5.03,4.56,4.15,3.76,3.63,3.52,3.41
02/19,24.89,19.07,15.46,12.95,10.97,9.34,7.83,6.51,4.93,4.47,4.09,3.72,3.6,3.49,3.38
03/19,22.15,17.14,14.02,11.8,10.01,8.54,7.18,5.99,4.57,4.16,3.82,3.48,3.37,3.27,3.16
04/19,24.7,19.73,16.52,14.16,12.22,10.6,9.05,7.69,6.06,5.53,5.08,4.65,4.49,4.36,4.22
05/19,25.74,21.01,17.86,15.47,13.47,11.78,10.16,8.71,6.98,6.39,5.88,5.39,5.22,5.06,4.9
06/19,25.89,21.56,18.56,16.24,14.26,12.58,10.93,9.46,7.71,7.06,6.52,5.99,5.8,5.62,5.44
07/19,23.69,19.99,17.35,15.27,13.47,11.92,10.4,9.05,7.42,6.8,6.28,5.78,5.59,5.42,5.25
08/19,25.01,21.32,18.59,16.41,14.48,12.82,11.19,9.74,8.01,7.34,6.78,6.24,6.04,5.86,5.67
09/19,24.72,21.3,18.7,16.58,14.68,13.03,11.41,9.96,8.23,7.55,6.97,6.42,6.21,6.03,5.84
10/19,21.53,18.56,16.26,14.38,12.66,11.16,9.73,8.47,6.95,6.38,5.9,5.43,5.26,5.1,4.94
11/19,23.03,20.01,17.68,15.67,13.81,12.19,10.65,9.28,7.65,7.02,6.5,5.99,5.79,5.62,5.45
12/19,18.97,16.44,14.45,12.72,11.11,9.71,8.42,7.3,5.96,5.47,5.06,4.67,4.52,4.38,4.25
01/20,19.82,17.21,15.11,13.25,11.52,10.02,8.64,7.47,6.07,5.58,5.17,4.77,4.62,4.49,4.35
02/20,18.88,16.39,14.35,12.54,10.84,9.37,8.04,6.92,5.6,5.15,4.78,4.42,4.28,4.15,4.03
03/20,17.08,14.88,13.07,11.43,9.88,8.56,7.36,6.34,5.15,4.74,4.4,4.08,3.95,3.84,3.72
04/20,20.67,18.31,16.31,14.47,12.71,11.19,9.76,8.5,7.06,6.51,6.05,5.6,5.42,5.26,5.1
05/20,21.21,18.96,17.02,15.19,13.44,11.92,10.48,9.18,7.71,7.11,6.61,6.12,5.93,5.76,5.58
06/20,20.05,18.06,16.32,14.66,13.05,11.65,10.3,9.07,7.69,7.1,6.6,6.12,5.93,5.76,5.58
