Date,Spot
02/22/2018,
03/22/2018,1.85
04/23/2018,1.8668
05/22/2018,1.8755
06/22/2018,2.0216
07/23/2018,2.0545
08/22/2018,2.0978
09/24/2018,2.1399
10/22/2018,2.1606
11/23/2018,2.1928
12/24/2018,2.2156
01/22/2019,2.2434
02/22/2019,2.2718
03/22/2019,2.2795
04/23/2019,2.3056
05/22/2019,2.3241
06/24/2019,2.3501
07/22/2019,2.3675
08/22/2019,2.3913
09/23/2019,2.4146
10/22/2019,2.4275
11/22/2019,2.4453
12/23/2019,2.4591
01/22/2020,2.476
02/24/2020,2.4941
03/23/2020,2.5007
04/22/2020,2.5148
05/22/2020,2.5256
06/22/2020,2.5398
07/22/2020,2.5505
08/24/2020,2.5651
09/22/2020,2.5782
10/22/2020,2.5887
11/23/2020,2.6027
12/22/2020,2.6128
01/22/2021,2.6262
02/22/2021,2.6394
03/22/2021,2.6401
04/22/2021,2.6486
05/24/2021,2.6549
06/22/2021,2.6629
07/22/2021,2.6688
08/23/2021,2.6773
09/22/2021,2.6852
10/22/2021,2.6911
11/22/2021,2.6991
12/22/2021,2.7048
01/24/2022,2.7131
02/22/2022,2.7206
03/22/2022,2.7203
04/22/2022,2.7259
05/23/2022,2.7298
06/22/2022,2.7352
07/22/2022,2.7389
08/22/2022,2.7444
09/22/2022,2.7498
10/24/2022,2.7537
11/22/2022,2.7588
12/22/2022,2.7623
01/23/2023,2.7677
02/22/2023,2.7728
03/22/2023,2.7726
04/24/2023,2.7776
05/22/2023,2.7805
06/22/2023,2.7851
07/24/2023,2.7884
08/22/2023,2.7928
09/22/2023,2.7973
10/23/2023,2.8005
11/22/2023,2.8048
12/22/2023,2.8078
01/22/2024,2.8122
02/22/2024,2.8166
03/22/2024,2.8177
04/22/2024,2.8216
05/22/2024,2.824
06/24/2024,2.828
07/22/2024,2.8303
08/22/2024,2.834
09/23/2024,2.8378
10/22/2024,2.8401
11/22/2024,2.8438
12/23/2024,2.8462
01/22/2025,2.8497
02/24/2025,2.8535
03/24/2025,2.8533
04/22/2025,2.8567
05/22/2025,2.859
06/23/2025,2.8625
07/22/2025,2.8647
08/22/2025,2.868
09/22/2025,2.8714
10/22/2025,2.8736
11/24/2025,2.877
12/22/2025,2.8791
01/22/2026,2.8823
